GroupId,ArtifactId,Version,Scope,Parent,AppName
jakarta.inject,jakarta.inject-api,2.0.1,runtime,org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
jakarta.persistence,jakarta.persistence-api,3.1.0,compile,org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
jakarta.transaction,jakarta.transaction-api,2.0.1,compile,org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
jakarta.validation,jakarta.validation-api,3.0.2,compile,org.hibernate.validator:hibernate-validator:8.0.1.Final--->org.springframework.boot:spring-boot-starter-validation:3.1.5--->,test
jakarta.xml.bind,jakarta.xml.bind-api,4.0.1,compile,org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
net.bytebuddy,byte-buddy,1.14.9,runtime,org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
net.bytebuddy,byte-buddy-agent,1.14.9,test,org.mockito:mockito-core:5.3.1--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
net.minidev,accessors-smart,2.4.11,test,net.minidev:json-smart:2.4.11--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
net.minidev,json-smart,2.4.11,test,org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.antlr,antlr4-runtime,4.10.1,compile,org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
org.apache.commons,commons-lang3,3.12.0,compile,io.swagger.core.v3:swagger-core-jakarta:2.2.19--->org.springdoc:springdoc-openapi-starter-common:2.3.0--->org.springdoc:springdoc-openapi-starter-webmvc-api:2.3.0--->org.springdoc:springdoc-openapi-starter-webmvc-ui:2.3.0--->,test
org.apache.logging.log4j,log4j-api,2.20.0,compile,org.apache.logging.log4j:log4j-to-slf4j:2.20.0--->org.springframework.boot:spring-boot-starter-logging:3.1.5--->org.springframework.boot:spring-boot-starter:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
org.apache.logging.log4j,log4j-to-slf4j,2.20.0,compile,org.springframework.boot:spring-boot-starter-logging:3.1.5--->org.springframework.boot:spring-boot-starter:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
org.apache.tomcat.embed,tomcat-embed-core,10.1.15,compile,org.springframework.boot:spring-boot-starter-tomcat:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
org.apache.tomcat.embed,tomcat-embed-el,10.1.15,compile,org.springframework.boot:spring-boot-starter-validation:3.1.5--->,test
org.apache.tomcat.embed,tomcat-embed-websocket,10.1.15,compile,org.springframework.boot:spring-boot-starter-tomcat:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
org.apiguardian,apiguardian-api,1.1.2,test,org.junit.jupiter:junit-jupiter-api:5.9.3--->org.junit.jupiter:junit-jupiter:5.9.3--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
